iter	Passed	Remaining
0	0	33
1	0	30
2	0	29
3	1	25
4	1	25
5	1	26
6	1	25
7	2	26
8	2	25
9	2	25
10	3	24
11	3	24
12	3	23
13	3	23
14	4	23
15	4	23
16	4	22
17	4	22
18	5	22
19	5	21
20	5	21
21	5	21
22	6	20
23	6	20
24	6	20
25	7	20
26	7	19
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	8	18
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	15
40	10	15
41	10	15
42	11	14
43	11	14
44	11	14
45	11	13
46	12	13
47	12	13
48	12	13
49	12	12
50	13	12
51	13	12
52	13	11
53	13	11
54	13	11
55	14	11
56	14	10
57	14	10
58	14	10
59	15	10
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	18	6
75	19	6
76	19	5
77	19	5
78	19	5
79	20	5
80	20	4
81	20	4
82	20	4
83	21	4
84	21	3
85	21	3
86	21	3
87	22	3
88	22	2
89	22	2
90	22	2
91	23	2
92	23	1
93	23	1
94	23	1
95	24	1
96	24	0
97	24	0
98	24	0
99	25	0
